Song_Code,Title,Time Period,Composer,VocalRange,Class,Key,Highest Note,Lowest Note,Runtime of Song,Language,Genre,Assignee Name,Music_Notes,Notes2
100-0287,Chanson D'Amour,1882 (Late Romantic),Faure,Soprano,A,G,,,2:16,French,Mélodie/Classic,Emma,No tracks & No Music,
100-0295,J'ai pleure en reve,1856 (Romantic),Hue,Soprano,A,F#m,,,1:46,French,Mélodie/Classic,Emma,No Music,
100-0297,Il mio bel foco (Soprano),1700 (Baroque),Marcello,Soprano,A,Am,,,2:55,Italian,Classical,Shanaya,No Music ,
100-0298,Das Veilchen,1785 (Classical),Mozart,Soprano,A,G,,,2:25,German,Classical,Shanaya,No Music,
100-0302,Se Tu M'ami (Soprano),1730 (Baroque),Pergolesi,Soprano,A,Gm,,,2:26,Italian,Classical,Shanaya,No Music,
100-0303,O mio babbino caro,1918 (Romantic),Puccini,Soprano,A,Ab,,,2:02,Italian,Classical,Shanaya,No Music,
100-0307,Du bist die Ruh,1823 (Romantic),Schubert,Soprano,A,Eb,,,3:37,German,Classical,Shanaya,No Music,
100-0309,The River in the Pines,1900s (Modern),Stanley,Soprano,A,Fm,,,,English,Folk,Shanaya,No Tracks or Music,
100-0312,Morgen,1894 (Romantic),Strauss,Soprano,A,G,,,3:22,German,Classical,Shanaya,No Music,
100-0313,Come l'all odoletta,1918 (Modern),Donaudy,Soprano,B,Gm,,,1:55,Italian,Classical,Shanaya,No Music,
100-0314,Come Again Sweet Love,1597 (Renaissance),Dowland,Soprano,B,A,,,2:23,English,Classical,Shanaya,No Music,
100-0315,To a Little Child,1900s (Modern),Edwards,Soprano,B,Ab,,,,English,Classical,Shanaya,No Tracks or Music,
100-0325,Nel cor piu non mi sento,1788 (Classical),Paisiello,Soprano,B,F,,,1:13,Italian,Classical,Shanaya,No Music,
100-0336,Wayfaring Stranger (Soprano),1800s (Traditional),Walters,Soprano,B,Dm,,,3:01,English,Folk,Shanaya,No Music,
100-0341,Amazing Grace (Soprano),1779 (Classical),Althouse,Soprano,C,G,,,2:35,English,Folk,Shanaya,No Music,
100-0344,Drink to Me Only with Thine Eyes (Soprano),1700s (Classical),Old English,Soprano,C,Eb,,,2:04,English,Folk,Shanaya,No Music,
100-0347,Where E'er You Walk (Soprano),1744 (Baroque),Handel,Soprano,C,G,,,3:45,English,folk,Shanaya,No Music,
100-0353,Let Us Break Bread Together (Ruck),1800s (Traditional),Ruck,Soprano,C,F,,,2:48,English,spirtual,Shanaya,No Music,
100-0369,Must the Winter Come So Soon,1958 (Modern),Barber,Mezzo Soprano,A,Fm,,,,English,Classical,Shanaya,No Tracks or Music,
100-0371,Song of Devotion,1900s (Modern),Beck,Mezzo Soprano,A,A,,,,English,classical,Shanaya,No Tracks or Music,
100-0381,At the Cry of the First Bird,1900s (Modern),Guion,Mezzo Soprano,A,Bm,,,,English,classical,Shanaya,No Tracks or Music,
100-0402,Over the Land is April (Mezzo Soprano),1894 (Romantic),Quilter,Mezzo Soprano,B,C,,,2:05,English,classical,Shanaya,No Music,
100-0414,Music When Soft Voices Die,1900s (Modern),Quilter,Mezzo Soprano,B,Ab,,,,English,classical,Shanaya,No Tracks or Music,
100-0428,Couldn't Hear Nobody Pray (High),1922 (Modern),Burleigh,Mezzo Soprano,C,F,,,2:58,English,Spiritual,Mae,No Music,
100-0432,Across the Western Ocean (Mezzo),1900s (Modern),Dougherty,Mezzo Soprano,C,D,,,,English,Modern,Mae,No Tracks or Music,
100-0433,Ol' Jim,1900s (Modern),Clara Edwards,Mezzo Soprano,C,F,,,,English,Classical,Mae,No Tracks or Music,
100-0438,The First Primrose,1870 (Romantic),Grieg,Mezzo Soprano,C,Eb,,,,English,Romantic,Mae,No Tracks or Music,
100-0446,Weep you no more (Mezzo Soprano),1900s (Modern),Quilter,Mezzo Soprano,C,Fm,,,2:20,English,Classical,Andy,No Music,
100-0452,I Know Where I'm Goin',1900s (Modern),Zaninelli,Mezzo Soprano,C,F,,,3:31,English,Modern,Andy,No Music,
100-0457,The Ash Grove (Britten),1943 (Modern),Britten,Alto,A,F,,,2:49,English,Modern,Andy,No Music,
100-0462,The Cradle (French only),1879 (Romantic),Faure,Alto,A,Am,,,,French,Romantic,Andy,No tracks & No Music,
100-0463,Eye Hath Not Seen,1800s (Romantic),Gaul,Alto,A,G,,,,English,Romantic,Andy,No Tracks or Music,
100-0487,Calm as the Night (Alto),1800s (Romantic),Bohm,Alto,B,Bb,,,2:54,English,Romantic,Andy,No sheet music,
100-0488,O Can You Sew Cushions,1943 (Modern),Britten,Alto,B,Eb,,,,English,Scottish folk,Andy,No tracks or sheet music,
100-0510,Snowbells,1840 (Romantic),Schumann,Alto,B,Bb,,,,English,Romantic,Andy,No tracks & no sheet music,
100-0561,Who Is Sylvia?,1900s (Modern),Coates,Tenor,B,D,,,3:20,English,Modern,Mae,No sheet music,
100-0562,The Dodger (Tenor),1950 (Modern),Copland,Tenor,B,G,,,2:08,English,Modern,Mae,No sheet music,
100-0563,Oh Promise Me,1889 (Romantic),DeKoven,Tenor,B,F,,,,English,Romantic,Mae,No tracks & No Music,
100-0568,My Lovely Celia (Tenor),1700s (Classical),Munro,Tenor,B,G,,,1:39,English,Classical,Mae,No sheet music,
100-0569,Gambler Don't Lose Your Place (Tenor),1900s (Modern),Niles,Tenor,B,F,,,,English,Folk,Mae,No tracks & No Music,
100-0571,What Songs Were Sung (Tenor),1900s (Modern),Niles,Tenor,B,Dm,,,2:32,English,Modern,Mae,No sheet music,
100-0581,Rio Grande,1900s (Modern),Dougherty,Tenor,C,Eb,,,,English,Modern,Andy,No tracks & No Music,
100-0583,Turtle Dove,1800s (Traditional),,Tenor,C,Bm,,,,English,Folk,Andy,No tracks & No Music,
100-0586,Angels through the Night,1900s (Modern),Kern,Tenor,C,G,,,,English,Modern,Andy,No tracks & No Music,
100-0589,"Jesus, Jesus, Rest Your Head (Niles)",1934 (Modern),Niles,Tenor,C,G,,,1:50,English,Modern,Andy,No sheet music,
100-0596,Passing By (Tenor),1600s (Baroque),Purcell,Tenor,C,G,,,1:52,English,Baroque,Andy,No sheet music,
100-0598,Drink to Me Only with Thine Eyes (Tenor),1700s (Classical),Old English,Tenor,C,Eb,,,2:04,English,Classical,Andy,No sheet music,
100-0629,The Vagabond (Baritone),1904 (Post-Romantic),Vaughan Williams,Baritone,A,Cm,,,,English,Classical,Andy,No tracks & no sheet music,
100-0633,Calm as the Night (Baritone),1800s (Romantic),Bohm,Baritone,B,Bb,,,2:54,English,Classical,Andy,No sheet music,
100-0637,Rolling Down to Rio (Baritone),1902 (Romantic),German,Baritone,B,Gm,,,,English,Classical / Folk,Andy,No tracks & no sheet music,
100-0639,Rend'il sereno al ciglio,1734 (Baroque),Handel,Baritone,B,F,,,,Italian,Baroque,Andy,No tracks & no sheet music,
100-0640,When First We Met (Baritone),1700s (Baroque),Handel,Baritone,B,F,,,,English,Baroque,Sharon,No tracks & no sheet music,
100-0641,Where E'er You Walk (Baritone),1744 (Baroque),Handel,Baritone,B,G,,,3:45,English,Baroque,Sharon,No sheet music,
100-0688,In diesen heil'gen Hallen,1791 (Classical),Mozart,Bass,A,E,,,,German,Classical,Leif,No tracks & no sheet music,
100-0689,O Isis und Osiris,1791 (Classical),Mozart,Bass,A,F,,,,German,Classical,Leif,No tracks & no sheet music,
100-0696,Pilgrim's Song,1880 (Romantic),Tchaikovsky,Bass,A,D,,,,English,Classical,Leif,No tracks & no sheet music,
100-0703,Cabin,1946 (Modern),Bowles,Bass,B,F#m,,,,English,classical,Leif,No tracks & no sheet music,
100-0708,Rolling Down to Rio (Bass),1902 (Romantic),German,Bass,B,Gm,,,,English,Classical,Leif,No tracks & no sheet music,
100-0720,The Salley Gardens (Bass),1943 (Modern),Britten,Bass,C,Db,,,2:13,English,Folk,Leif,No sheet music,
100-0721,I Bought Me a Cat,1950 (Modern),Copland,Bass,C,F,,,2:16,English,Folk,Leif,No sheet music,
100-0722,The Dodger (Bass),1950 (Modern),Copland,Bass,C,G,,,2:08,English,Folk,Leif,No sheet music,
100-0724,Across the Western Ocean (Bass),1800s (Traditional),Dougherty,Bass,C,D,,,,English,Folk/Shanty,Leif,No tracks & no sheet music,
100-0730,Black is the Color,1941 (Modern),Niles,Bass,C,Ebm,,,,English,Folk,Emma,No tracks or music,
100-1920,How Can I Keep from Singing,1868 (Romantic),"Lowry, arr. Ruck",Alto,C,F,,,2:40,English,Hymn,Emma,No sheet music,
100-1941,The Black Swan,1946 (Modern),Menotti,Mezzo Soprano,A,Gm,,,,English,Classical Opera,Emma,No tracks,
100-1979,My Master Hath a Garden,1900s (Modern),Thompson,Soprano,C,Eb,,,,English,classical,Emma,No tracks,
100-1981,Balm in Gilead,1800s (Traditional),Ruck,Soprano,C,G,,,2:52,English,Spiritual,Emma,No sheet music,
100-2024,Mary Had a Baby (Walters),1800s (Traditional),Arranged by Richard Walters,Mezzo Soprano,C,Eb,,,2:36,English,Spiritual,Emma,No sheet music,
100-2040,Steal Away,1800s (Traditional),Ruck,Soprano,C,F,,,3:20,English,Spiritual,Emma,No sheet music,
101-3296,Se Florindo e fedele (Vocal All),1694 (Baroque),"Scarlatti, A",Vocal All,A,Ab,,,2:15,Italian,Classical/baroque,Emma,No sheet music,
100-0554,Hey Ho the Wind and the Rain,1921 (Modern),Roger Quilter,Tenor,A,Eb,F4(A4),G3,,English,Classical / Folk,Shanaya,No tracks,
100-0394,Mon coeur s'ouvre a ta voix,1877 (Romantic),Saint-Saens,Mezzo Soprano,A,Db,Gb5,Bb3,,French,Classical,Shanaya,No Tracks,
100-2031,Le Violette (Soprano),1694 (Baroque),Scarlatti,Soprano,A,Bb,G5(B5),F4,2:42,Italian,Classical,Emma,,
100-0320,My Johann,1870 (Romantic),Grieg,Soprano,B,G,G5(A5),D4,2:27,English,Classical,Shanaya,,
100-0280,The Lass with the Delicate Air,1762 (Classical),Arne,Soprano,A,G,G5 (B5),D4,,English,Classical,Andy,No tracks,
100-0000,Sure on This Shining Night,1938 (Neo-Romantic),Barber,Vocal All,A,Bb,G5,D4,2:28,English,Classical,Shanaya,,
100-0008,Per la gloria d'adorarvi (High),1722 (Baroque),Bononcini,Vocal All,A,G,G5,E4,3:00,Italian,Classical,Shanaya,,
100-0165,The Beatitudes,1938 (Neo-Romantic),Malotte,Vocal All,B,G,G5,F4,2:11,English,Sacred,Yasmeen,,
100-0208,To the Sky (High),1900s (Modern),Strommen,Vocal All,C,Bb,G5,F4,2:26,English,Folk,Andy,,
100-0284,Everywhere I Look,1900s (Modern),Carew,Soprano,A,F,G5,C4,1:45,English,Folk,Andy,,
100-0289,La belle au bois dormant,1880 (Medieval/Late Romantic),Fourdrain,Soprano,A,Gm,G5,D4,2:51,French,Folklore,Emma,,
100-0296,The Green Dog,1939 (Modern),Kingsley,Soprano,A,Eb,G5,Eb4,1:11,English,Classical,Emma,,
100-0305,Song of the Blackbird,1900s (Modern),Quilter,Soprano,A,C,G5,E4,,English,classical,Shanaya,No Tracks,
100-0311,Die Nacht,1885 (Romantic),Strauss,Soprano,A,D,G5,C#4,1:43,German,Classical,Shanaya,,
100-0319,El Tra La La Y El Punteado,1916 (Romantic),Granados,Soprano,B,A,G5,E4,1:35,Spanish,Classical,Shanaya,,
100-0321,Bel Piacere,1709 (Baroque),Handel,Soprano,B,G,G5,D4,2:07,Italian,Classical,Shanaya,,
100-0324,Mi Sueno,1900s (Modern),Kilenyi,Soprano,B,Em,G5,D#4,,Spanish,Classical,Shanaya,No Tracks,
100-0328,Weep you no more (Soprano),1900s (Modern),Quilter,Soprano,B,Fm,G5,Eb4,2:20,English,Classical,Shanaya,,
100-0335,Once I Had a Sweetheart,1800s (Traditional),Walters,Soprano,B,Gm,G5,C4,,English,folk,Shanaya,No Tracks,
100-0348,Evening Prayer,1893 (Romantic),Humperdinck,Soprano,C,D,G5,D4,1:55,English,spiritual,Shanaya,,
100-0375,Charmant Papillon,1716 (Baroque),Campra,Mezzo Soprano,A,Gm,G5,D4,,French,baroque,Shanaya,No Tracks,
100-0380,Faites lui mes aveux,1859 (Romantic),Gounod,Mezzo Soprano,A,C,G5,D4,,French,romance,Shanaya,No Tracks,
100-0389,Voce di donna,1876 (Romantic),Ponchielli,Mezzo Soprano,A,Eb,G5,A3,,Italian,opera,Shanaya,No Tracks,
100-0390,If Music Be the Food of Love,1692 (Baroque),Purcell,Mezzo Soprano,A,Gm,G5,F4,1:57,English,Classical,Shanaya,,
100-0415,Lilacs,1893 (Romantic),Rachmaninoff,Mezzo Soprano,B,Ab,G5,Eb4,1:37,English,romance,Shanaya,,
100-0420,Simple Gifts (Hayes),1900s (Modern),Shaker-Hayes,Mezzo Soprano,B,G,G5,D4,2:20,English,Folk,Shanaya,,
100-1970,Come To The Fair,1917 (Modern),Martin,Soprano,B,Bb,G5,G4,2:43,English,Classical,Emma,,
100-2028,Nuit dEtoiles,1880 (Romantic),Debussy,Mezzo Soprano,B,Eb,G5,D4,3:10,French,Classic,Emma,,
100-2030,"Le Violette (Soprano, High)",1694 (Baroque),Scarlatti,Soprano,A,C,G5,G4,2:42,Italian,Classical,Emma,,
100-2032,Sento nel core (High),1700 (Baroque),Scarlatti,Soprano,A,Gm,G5,F#4,3:30,Italian,Classical,Emma,,
100-2037,O cessate di piagarmi (Soprano),1694 (Baroque),Scarlatti,Soprano,B,Am,G5,G#4,1:15,Italian,Classical,Emma,,
100-0294,Si Mes Vers Avaient Des Ailes,1888 (Late Romantic),Hahn,Soprano,A,E,G#5,C#4,1:42,French,Mélodie/Classic,Emma,,
100-0293,Le rossignol des lilas,1947 (Post-Romantic),Hahn,Soprano,A,Ab,F5 (A5),Eb4,2:03,French,Mélodie/Classic,Emma,,
100-0018,Wade in de Water (Low),1860s (Civil War Era),H.T. Burleigh,Vocal All,A,Dm,F5,A3,1:49,English,Spiritual,Shanaya,,
100-0036,"Danza, Danza (Medium)",1772 (Baroque),Durante,Vocal All,A,Bbm,F5,Bb3,2:34,Italian,Classical,Shanaya,,
100-0058,O del mio dolce ardor (Low),1769 (Classical),Gluck,Vocal All,A,Dm,F5,A3,3:20,Italian,Aria,Jack,,
100-0655,Zueignung,1883 (Romantic),Richard Strauss,Vocal All,A,C,F5,E4,,German,Classical,Sam,No Tracks,
100-0118,"My Lord, What a Mornin' (High)",1700s (Romantic),Burleigh,Vocal All,B,F,F5,F4,2:53,English,Spiritual,Emma,,
100-0138,Zion's Walls,1835 (Romantic),Copland,Vocal All,B,F,F5,C4,2:03,English,Folk Hymn,Yasmeen,,
100-0139,The Loveliest of Trees (High),1895/1986 (Romantic),Duke,Vocal All,B,Ab,F5,D4,,English,Classical Art,Yasmeen,No Tracks,
100-0167,Lasciatemi morire! (High),1608 (Baroque),Monteverdi,Vocal All,B,Fm,F5,F4,1:22,Italian,Opera,Yasmeen,,
100-2032,Sento nel core (High),1600s/1700s (Baroque),Scarlatti,Vocal All,B,Em,F5,E4,,Italian,Classical,Mae,No Tracks,
100-0198,Long Time Ago,1837/1950 (American Folk),Copland,Vocal All,C,Bb,F5,F4,2:33,English,Folk,Andy,,
100-0210,To the Sky (Medium),1900s (Modern),Strommen,Vocal All,C,Ab,F5,E4,2:04,English,Folk,Andy,,
100-0232,Homeward Bound (High),1900s (Modern),Keen,Vocal All,C,F,F5,C4,2:58,English,Folk,Brie,,
100-0285,Intorno all' idol mio,1649 (Baroque),Cesti,Soprano,A,Em,F5,D4,3:25,Italian,Classical,Andy,,
100-0288,Pie Jesu,1887 (Late Romantic),Faure,Soprano,A,Bb,F5,E4,2:50,Latin,Sacred Classical,Emma,,
100-0317,The Fields are Full,1920 (Modern),Gibbs,Soprano,B,Gb,F5,Db4,1:46,English,Classical,Shanaya,,
100-0323,La Paloma Blanca,1900s (Modern),Kilenyi,Soprano,B,Ab,F5,E4,,Spanish,Classical,Shanaya,No Tracks,
100-0329,American Lullaby (Soprano),1932 (Modern),Rich,Soprano,B,F,F5,C4,2:19,English,Folk/Gospel,Shanaya,,
100-0349,On Wings of Song (Soprano),1834 (Romantic),Mendelssohn,Soprano,C,Ab,F5,Eb4,3:24,English,folk,Shanaya,,
100-0350,What Songs Were Sung (Soprano),1900s (Modern),Niles,Soprano,C,Dm,F5,C4,2:24,English,folk,Shanaya,,
100-0356,She's Like the Swallow,1900s (Modern),Strommen,Soprano,C,Dm,F5,D4,2:39,English,folk,Shanaya,,
100-0364,For You There is No Song,1900s (Modern),Adams,Mezzo Soprano,A,Bbm,F5,Bb3,,English,classical,Shanaya,No Tracks,
100-0387,"Voi, che sapete",1786 (Classical),Mozart,Mezzo Soprano,A,Bb,F5,C4,,Italian,classical,Shanaya,No Tracks,
100-0391,Nymphs and Shepherds,1692 (Baroque),Purcell,Mezzo Soprano,A,F,F5,C4,1:55,English,baroque,Shanaya,,
100-0398,The Daisies (Mezzo Soprano),1936 (Modern),Barber,Mezzo Soprano,B,F,F5,C4,1:10,English,folk,Shanaya,,
100-0404,The Ke,1948 (Modern),Dougherty,Mezzo Soprano,B,Am,F5,D4,3:23,English,art song,Shanaya,,
100-0416,American Lullaby (Mezzo Soprano),1932 (Modern),Rich,Mezzo Soprano,B,F,F5,C4,2:19,English,Folk/Gospel,Shanaya,,
100-0418,O cessate di piagarmi (Mezzo Soprano),1683 (Baroque),Scarlatti,Mezzo Soprano,B,Gm,F5,F#4,1:15,Italian,baroque,Emma,,
100-0421,When a Merry Maiden Marries,1889 (Romantic),Sullivan,Mezzo Soprano,B,F,F5,C4,,English,classical,,No Tracks,
100-2029,Domine Deus (Soprano),1715 (Baroque),Vivaldi,Mezzo Soprano,A,C,F5,F4,3:26,Latin,Classical/Sacred,Emma,,
100-0426,Have You Seen But A White Lily Grow?,1600s (Baroque),Anonymous,Mezzo Soprano,C,F,F5,F4,1:50,English,classical,,,
100-0445,When Love Is Kind (Mezzo Soprano),1800s (Romantic),Old English,Mezzo Soprano,C,F,F5,C4,1:42,English,Romantic,Andy,,
100-0455,The Crucifixion,1953 (Modern),Barber,Alto,A,Am,F5,D4,1:57,English,Modern,Andy,,
100-0484,Connais-Tu le Pays?,1866 (Romantic),Thomas,Alto,A,Db,F5,C4,,French,Romantic,Andy,No tracks,
100-0567,On Wings of Song (Tenor),1834 (Romantic),Mendelssohn,Tenor,B,Ab,F5,Eb4,3:24,English,Romantic,Mae,,
100-1976,The Silver Swan,1612 (Renaissance),Gibbons,Soprano,B,Eb,F5,F4,1:46,English,Madrigal,Emma,,
100-2029,Domine Deus (Soprano),1715 (Baroque),Vivaldi,Soprano,B,C,F5,F4,3:26,Latin,Classical/Sacred,Emma,,
100-2036,Se Florinda e fedele (Soprano),1694 (Baroque),Scarlatti,Soprano,A,Bb,F5,F4,2:16,Italian,Classical/Baroque,Emma,,
100-0334,Let Us Break Bread Together (Walters),1800s (Traditional),Walters,Soprano,B,G,F#5 (G5),D4,2:16,English,spiritual hymn,Shanaya,,
100-0032,Alma del core (Medium),1710 (Baroque),Caldara,Vocal All,A,G,F#5,G4,2:48,Italian,Classical,Shanaya,,
100-0136,The Boatman's Dance,1840/1950 (American Folk),Copland,Vocal All,B,E,F#5,E4,2:49,English,Folk,Emma,,
100-0244,Danny Boy (Medium),1900s (Romantic),Old Irish Air,Vocal All,C,D,F#5,B3,2:53,English,Folk,Brie,,
100-0281,Quia Respexit,1723 (Baroque),Bach,Soprano,A,Bm,F#5,D4,,Latin,classical,Andy,No tracks,
100-0318,El Majo Timido (Soprano),1916 (Romantic),Granados,Soprano,B,D,F#5,D4,,Spanish,Classical,Shanaya,No Tracks,
100-0322,"Maman, dites-moi",1700s (Classical),Jean-Baptiste,Soprano,B,Dm,F#5,D4,,French,Classical,Shanaya,No Tracks,
100-0333,Bury Me Beneath The Willow,1900s (Traditional),Stanley,Soprano,B,A,F#5,D4,,English,folk,Shanaya,No Tracks,
100-0346,Florian's Song,1800s (Romantic),Godard,Soprano,C,D,F#5,D4,,English,classical,Shanaya,No Tracks,
100-0354,Butterflies,1800s (Romantic),Schulz-Reimann,Soprano,C,A,F#5,E4,1:08,English,classical,Shanaya,,
100-0373,L'amour est un oiseau,1875 (Romantic),Bizet,Mezzo Soprano,A,Dm,F#5,D4,,French,classical / aria,Shanaya,No Tracks,
100-0419,Orpheus With His Lute,1800s (Romantic),Schumann,Mezzo Soprano,B,Dm,F#5,C4,,English,classical,,No Tracks,
100-0054,O del mio dolce ardor (High),1769 (Classical),Gluck,Vocal All,A,Fm,Eb5,C4,3:20,Italian,Aria,Jack,,
100-0124,Were You There? (Low),1800s (Romantic),H.T. Burleigh,Vocal All,B,Eb,Eb5,Bb3,2:39,English,Spiritual,Emma,,
100-0142,"Vergin, tutto amor (High)",1600s (Baroque),Durante,Vocal All,B,Cm,Eb5,D4,2:30,Italian,Classical,Yasmeen,,
100-0184,All The Pretty Little Horses (High),1900s (Modern),Zaninelli,Vocal All,B,Fm,Eb5,C4,2:01,English,Folk,Mae,,
100-0230,In Sherwood Lived Stout,1800s (Victorian),Jones,Vocal All,C,Eb,Eb5,B3,1:17,English,Folk,Brie,,
100-0342,Wiegenlied (Soprano),1868 (Romantic),Brahms,Soprano,C,Eb,Eb5,Eb4,,English?,Berceuse,Shanaya,No Tracks,
100-0427,Wiegenlied (Mezzo Soprano),1868 (Romantic),Brahms,Mezzo Soprano,C,Eb,Eb5,Eb4,,English?,Berceuse,,No Tracks,
100-0437,A Swan,1870 (Romantic),Grieg,Mezzo Soprano,C,Eb,Eb5,C4,1:44,English,Art / Romance,Mae,,
100-0444,Drink to Me Only with Thine Eyes (Mezzo Soprano),1700s (Classical),Old English,Mezzo Soprano,C,Eb,Eb5,Eb4,2:04,English,Classical,Andy,,
100-0448,Think On Me (Mezzo Soprano),1800s (Romantic),Scott,Mezzo Soprano,C,Eb,Eb5,D4,4:10,English,Romantic,Andy,,
100-0453,Bist Du Bei Mir,1725 (Baroque),Bach,Alto,B,Bb,Eb5,C4,,German,Baroque,Andy,No tracks,
100-0678,"I Said, ""I Will Forget Thee"" (German Only)",1864 (Romantic),Brahms,Bass,A,Dm,Eb5,C4,,German,classical,Leif,No tracks,
100-2023,Didn't My Lord Deliver Daniel?,1800s (Traditional),Arranged by Brian Dean,Mezzo Soprano,C,Gm,Eb5,G4,1:49,English,Spiritual,Emma,,
100-2027,Au bord de leau,1875 (Romantic),Faure,Mezzo Soprano,A,Bbm,Eb5,Db4,2:15,French,Classic,Emma,,
100-0611,Lydia,1870 (Romantic),Faure,Baritone,A,Eb,Eb4,Eb3,2:32,French,Romantic,Shanaya,,
100-0614,Der Wanderer,1700s (Classical),Haydn,Baritone,A,Gm,Eb4,D3,,German,Classical,Shanaya,No tracks,
100-0619,The Rovin' Gambler,1900s (Modern),Niles,Baritone,A,Eb,Eb4,Bb2,,English,Modern,Shanaya,No tracks,
100-0626,Come Ye Blessed,1800s (Romantic),Scott,Baritone,A,Eb,Eb4,Bb2,,English,Classical / sacred,Shanaya,No tracks,
100-0698,The Vagabond (Bass),1904 (Post-Romantic),Vaughan Williams,Bass,A,Cm,Eb4,A2,,English,Classical,Leif,No tracks,
100-0106,Star Vicino (High),1665 (Baroque),Anonymous,Vocal All,B,G,E5(G5),G4,,Italian,Classical,Sam,,
100-0205,Into the Night (High),1900s (Modern),Edwards,Vocal All,C,G,E5(G5),E4,3:43,English,Classical,Andy,,
100-0361,Single Girl,1800s (Traditional),Walters,Soprano,C,G,E5(G5),D4,2:03,English,folk,Shanaya,,
100-0020,"Amarilli, mia bella (High)",1602 (Baroque),Caccini,Vocal All,A,Gm,E5,D4,2:48,Italian,Classical,Shanaya,,
100-0064,Come and Trip It (Vocal All),1740 (Baroque),Handel,Vocal All,A,Gm,E5,B3,2:28,English,Classical,Jack,,
100-0116,"Deep River (Low, Vocal All)",1700s (Romantic),Burleigh,Vocal All,B,C,E5,G3,2:20,English,Spiritual,Emma,,
100-0127,"Sebben, crudele (High)",1600s (Baroque),Caldara,Vocal All,B,Em,E5,E4,2:21,Italian,Classical,Emma,,
100-0135,At the River,1952 (Neoclassical),Copland,Vocal All,B,Eb,E5,E4,2:16,English,Classical,Emma,,
